name	brand	desc	category	tags	price_value	price	link_url	img_url	reference
Sharp 65吋 XLED	夏普 (Sharp)	如果不想買OLED的話，現在Sharp XLED應該是最好的選擇	影音	#電視 #影音	43000	43000	https://24h.pchome.com.tw/prod/DPADN9-A900HQHS6?fq=/S/DPADN9	https://img.pchome.com.tw/cs/items/DPADN9A900HQHS6/000001_1724033495.jpg	
LG C4 65吋 OLED	樂金 (LG)	OLED面板的話還是LG比較便宜，不然就是要賭人品買台牌或匪牌	影音	#OLED #影音		低於60000	https://www.3c3c.com.tw/Shop/itemDetail.aspx?mNo1=OLED65C4PTA&m=6&p=60	https://www.lg.com/content/dam/channel/wcms/tw/images/oled-tv-smart-screen/oled65c4pta_att_eatt_tw_c/OLED65C4PTA_ATT_EATT_TW_C-450x450-new.jpg	
BenQ E55-735	明基 (BenQ)	"BenQ 55""也低於15k了，而且還有Android TV"	影音	#電視 #影音	13999	13999	https://24h.pchome.com.tw/prod/DPAD0O-1900GHE46?fq=/S/DPAD0O	https://img.pchome.com.tw/cs/items/DPAD0O1900GHE46/000001_1733903546.jpg	
BenQ E43-735	明基 (BenQ)	"當然43""的也是可以看BenQ，現在也只賣11k"	影音	#影音	10999	10999	https://24h.pchome.com.tw/prod/DPAD0O-1900GHE37?fq=/S/DPADTK	https://img.pchome.com.tw/cs/items/DPAD0O1900GHE37/000001_1733195326.jpg	
ELAC ConneX DCB41	意力 (ELAC)	這是有HDMI ARC的主動式喇叭，最適合拿來當電視喇叭	影音	#電視 #影音		大概16000	https://24h.pchome.com.tw/prod/DMAAH8-A900HVR8U	https://img.pchome.com.tw/cs/items/DMAAH8A900HVR8U/000001_1727248100.jpg	
Sennheiser Ambeo Max	森海塞爾 (Sennheiser)	Soundbar唯一推薦，看片聽音樂都可以，就是價錢不夠可愛，如果有飛美國的話可以考慮帶一組	影音	#Soundbar #影音	84900	84900	https://24h.pchome.com.tw/prod/DMAAEE-A900GPR35	https://img.pchome.com.tw/cs/items/DMAAEEA900GPR35/i010004_1696574787.jpg	https://www.facebook.com/applepig/posts/pfbid02Z4MneYucySzuwXGTurgjTvu7hTUGz8VNPxYWmCsKcNoMGQtoCyLurJDf2qFkRSnXl
Homepod（大）	蘋果 (Apple)	新的Apple TV可以把Homepod拿來當電視喇叭，兩萬多塊範圍我覺得很難有對手	影音	#電視 #影音	22000	22000	https://24h.pchome.com.tw/prod/DYAJKI-1900GB142	https://img.pchome.com.tw/cs/items/DYAJKI1900GB142/000001_1683606077.jpg	https://www.facebook.com/applepig/posts/pfbid0Nrstr8AQMc2kBqbJLvqXNZ1LJzQxEMRrjrC13RRukbHTsBNSg8YoEpvVRJXBHD8il
Apple TV 4K	蘋果 (Apple)	我有一個朋友他一直覺得「機上盒為什麼只能買Apple TV或FireTV呢，一定有更便宜的選項」  然後他就前後買個至少十隻便宜的機上盒，也多了十隻電子垃圾	影音	#電視 #影音 #4K	4490	4490	https://24h.pchome.com.tw/prod/DYAJFN-1900H1P8W	https://img.pchome.com.tw/cs/items/DYAJFN1900H1P8W/000001_1734071736.jpg	https://www.facebook.com/applepig/posts/pfbid0Q9T73KVmaZKBnZtEVMfMkWw2FKz6UqVaCUmcdh47bpBvnnx7WwRYKNoZDLKPzJVrl
FIBBR光纖HDMI線	FIBBR	光纖HDMI線可以減少很多要壞不壞的靈異現象，而且他現在入門款賣的也很便宜，三條就免運了	影音	#光纖 #影音 #線材		20~30鎂	https://www.amazon.com/Cable-FIBBR-48Gbps-Compatible-Blu-ray/dp/B09KZ435N6	https://m.media-amazon.com/images/I/61buqTkTaSL._SL1500_.jpg	
MSI桌上型	微星 (MSI)	i5 / 32G / 1TB / 4060，還三年保固	電腦	#桌機 #電腦	29990	29990	https://24h.pchome.com.tw/prod/DSAANL-1900I1LVY	https://img.pchome.com.tw/cs/items/DSAANL1900I1LVY/000001_1732513100.jpg	
B18	B18	光華萬事屋，店面現在擺非常多鍵盤，店內沒有擺的東西也可以問	電腦	#電腦 #鍵盤		あるよー	https://www.facebook.com/B18TW	https://scontent.ftpe8-4.fna.fbcdn.net/v/t39.30808-6/308492852_593092195937302_5331278784983725989_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=cw2LJYXN_8cQ7kNvgE6_sJ1&_nc_zt=23&_nc_ht=scontent.ftpe8-4.fna&_nc_gid=AiNbn07n_lOMyek5dW-Y2UT&oh=00_AYA0w2K741c1J98h05oOvOTs1gu4-ho3Qa6fculv6tRTqQ&oe=67637CD4	
BenQ RD280U	明基 (BenQ)	"28"" 3840*2560的螢幕，比一般的4K多了一些高度，160ppi設200%的話字也不算太大，不過價錢還沒降可以再等等"	電腦	#螢幕 #電腦 #4K	16888	16888	https://24h.pchome.com.tw/prod/DSABSO-A900HJAH0?fq=/S/DSABSO	https://cs-a.ecimg.tw/items/DSABSOA900HJAH0/yt000001_1719283603.jpg	
Philips 40B1U5600 	飛利浦 (Philips)	"40"" 3440*1440的螢幕，等於是32"" 2K的加寬版本，94ppi可以直接設100%來用"	電腦	#螢幕 #電腦 #2K	15000	15000	https://24h.pchome.com.tw/prod/DSABQK-A900HLMQG?fq=/S/DSABQI	https://img.pchome.com.tw/cs/items/DSABQKA900HLMQG/000001_1730023435.jpg	
Samsung M7 32吋	三星 (Samsung)	想要4K、想要USB C接筆電、或是用mac沒有dpi問題的話可以考慮這台	電腦	#電腦 #4K	9900	9900	https://24h.pchome.com.tw/prod/DPADEW-A900HXG0E	https://img.pchome.com.tw/cs/items/DSABONA900E71LK/000001_1701314910.jpg	https://www.facebook.com/applepig/posts/pfbid0JCoQJTRYpcGmQqrV4ryTVfj1NsHhEQADq6nipBzBgbJNpkX6WDgJj3LyLew5DQajl
Ducky One 2	魔力鴨 (Ducky)	我覺得Ducky One 2可以買，但是3不行，所以趁他們還有生產的時候多庫存個兩把	電腦	#電腦	2300	2300	https://24h.pchome.com.tw/prod/DCAHVA-A900GAGDQ	https://cs-a.ecimg.tw/items/DCAHVAA900GAGDQ/yt000001_1701253293.jpg	
Kioxia 1TB隨身碟	鎧俠 (Kioxia)	故Toshiba，這顆沒搜尋到什麼災情，價格也便宜，大概可以買吧	電腦	#電腦 #隨身碟	2490	2490	https://24h.pchome.com.tw/prod/DRAA5D-A900FDQCR	https://img.pchome.com.tw/cs/items/DRAA5DA900FDQCR/000001_1660124876.jpg	
APlus UPS	愛家 (APlus)	便宜、MIT、而且面板還有螢幕跟USB充電，但是我有些電腦的監控軟體抓不到他	電腦	#螢幕 #電腦	1450	1450	https://24h.pchome.com.tw/prod/DCAR15-A900AU2RL	https://img.pchome.com.tw/cs/items/DCAR15A900AU2RL/000001_1598318654.jpg	
Unifi Express	Unifi	你遲早是要裝Unifi全家桶的，為什麼不一開始就裝呢	電腦	#電腦 #網路設備	5799	5799	https://tw.store.ui.com/tw/zh-tw/category/cloud-gateways-wifi-integrated/products/ux	https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F4ed25b4c-db92-4b98-bbf3-b0989f007c0e%2F8ff040a0-4b16-4c98-a96c-b643cfafbc73.png&q=75&w=1920	
Synology DS723+	群暉 (Synology)	最近硬碟單顆有16TB，小小一台2bay即使裝RAID 1也還是有16TB可用，應該遠超過大部分人的需求	電腦	#電腦	15000	15000	https://24h.pchome.com.tw/prod/DRAG08-A900FWNSJ	https://img.pchome.com.tw/cs/items/DRAG08A900FWNSJ/000001_1681108395.jpg	https://www.facebook.com/applepig/posts/pfbid0yWM3dPV3ZJMNFVrzBwkSZgkgFhHakf79DAhhFQwd3A1kUgnY23D4Exb5PZS2r9Hvl
Zyxel XGS1250-12	合勤 (Zyxel)	應該是目前最好買的10G switch，一孔SFP+、三孔Multigig、八孔gbe，應該這台就可以把全家的網路線都插在上面了	電腦	#電腦 #線材	9000	9000	https://24h.pchome.com.tw/prod/DRAF0I-A900B7QHW	https://img.pchome.com.tw/cs/items/DRAF0IA900B7QHW/000001_1658917277.jpg	https://www.facebook.com/applepig/posts/pfbid0h5V9UwDvLD96ZTSEvoHctNK8sEqvfHaPKqMz5DWf1MrMZfuPyw9GoQj8k6C6RsCbl
Aeron Chair	Aeron	椅子再貴有你的腰椎貴嗎？不過雅浩的保固真的越來越讓人擔心...	電腦	#電腦 #電腦椅		28000~32000	https://24h.pchome.com.tw/region/DCBV	https://img.pchome.com.tw/cs/items/DCBV00A900GNUKA/000001_1703124496.jpg	
巧麗家具	巧麗家具	想找便宜一點的椅子的話就去找巧麗，老闆是個高手	電腦	#電腦 #電腦椅		？	http://www.cool-office.com.tw/	https://s3-media0.fl.yelpcdn.com/bphoto/3AnWO3jOJSglPV8dZyf_lg/348s.jpg	
Altwork Station	Altwork	相信每個人都有「躺著用電腦」的夢想，這個看起來很棒對吧  （對不起我不知道怎麼買、也不知道買回來要放哪裡	電腦	#電腦 #電腦椅		8000鎂	https://altwork.com/	https://assets.newatlas.com/dims4/default/a0ace13/2147483647/strip/true/crop/1063x1080+0+0/resize/1063x1080!/quality/90/?url=http%3A%2F%2Fnewatlas-brightspot.s3.amazonaws.com%2Farchive%2Faltwork-station-2.jpg	
Belkin 三孔Type C充電器	貝爾金 (Belkin)	這顆三孔都是Type C，出力是25/20/20、或45/20、或65，旅行包換成這顆剛好可以減少線的種類	3C	#Type-C #3C #線材	790	790	https://pxbox.es.pxmart.com.tw/product/155053	https://img.pchome.com.tw/cs/items/DCAD6E1900H8FBD/000001_1716168950.jpg	https://www.facebook.com/applepig/posts/pfbid02STBwzCTw3BAjNH876HQTcJafVJk3bkGGW23y4we9ikEdhFDSR7GZaCAVKhGA9agLl
j5create豆腐頭	凱捷 (j5create)	30W 1C1A，這顆特價會亂賣到199	3C	#充電器 #3C	199	199	https://24h.pchome.com.tw/prod/DCAX3N-A900AD07K	https://img.pchome.com.tw/cs/items/DCAX3NA900AD07K/000001_1680747068.jpg	https://www.facebook.com/applepig/posts/pfbid02GiR12vXf3qXtJAhrEGCXbrMXGkTbKBNLTBPisMyN7QK133jcXHHGMxpbMk2EpzFul
Bose QC45	博士 (Bose)	後來出了新的Ultra跟QC（沒有數字），我還沒去試聽	3C	#耳機 #3C	8000	8000	https://24h.pchome.com.tw/prod/DGCT18-A900GN5LD	https://img.pchome.com.tw/cs/items/DGCT18A900GN5LD/000001_1702626142.jpg	https://www.facebook.com/applepig/posts/pfbid02jp4JQkZR4CZhF6vubULYG1TY19B6sCbcP1FoqShhBDtjdH6wZ4xYXtywNAqQhVEFl
IKEA充電電池	宜家 (IKEA)	三號、四號電池都找他們家買就對了	3C	#電池 #3C		249~349	https://www.ikea.com.tw/zh/products/electronics/power-supply-and-charging/ladda-art-90506528	https://www.ikea.com.tw/dairyfarm/tw/images/685/0968547_PE810493_S4.webp	
IKEA充電線	宜家 (IKEA)	手機的充電線也是都找他們家買就對了	3C	#3C #線材	199	199	https://www.ikea.com.tw/zh/products/electronics/power-supply-and-charging?tags[]=415	https://www.ikea.com.tw/dairyfarm/tw/images/456/1045699_PE842703_S4.webp	
電池充電器		這個倒是可以不用找IKEA，這顆用豆腐頭輸入的，反而比插牆上好用	3C	#充電器 #3C	249	249	https://24h.pchome.com.tw/prod/DCABC4-A900BOW1X	https://img.pchome.com.tw/cs/items/DCABC4A900BOW1X/000001_1629649165.jpg	
ADATA 行動電源	威剛 (ADATA)	體積相當小，而且還很便宜	3C	#行動電源 #3C	500	500	https://24h.pchome.com.tw/prod/DYAO44-A900HC1WQ	https://cs-a.ecimg.tw/items/DYAO44A900HC1WQ/yt000001_1711341252.jpg	
Avier行動電源	Avier	便宜、有雙向PD、但是顏色非常微妙	3C	#行動電源 #3C	479	479	https://24h.pchome.com.tw/prod/DYAO44-A900GLJQ6	https://img.pchome.com.tw/cs/items/DYAO44A900GLJQ6/000001_1701165477.jpg	
aibo Qi行動電源	愛寶 (aibo)	我手邊的是之前捕蚊達人那一批的，看起來應該是一樣的	3C	#無線 #行動電源 #3C	899	899	https://24h.pchome.com.tw/prod/DYAOE1-A900HDHBH?fq=/S/DYAOAU	https://img.pchome.com.tw/cs/items/DYAOE1A900HDHBH/000001_1723775526.jpg	
Hitachi RD-14FR	日立 (Hitachi)	日立這系列最近大概降了20%，現在應該不需要考慮其他牌子	居家	#居家	5999	5999	https://24h.pchome.com.tw/prod/DMBQ01-A900GSFE3	https://img.pchome.com.tw/cs/items/DMBQ01A900GSFE3/000001_1700533478.jpg	https://www.facebook.com/applepig/posts/pfbid02NJssM3r5EVu8ekue21HnszURe3KdzudkyFDY1t6sfrF1hL6PkWueXR5Gvg1kEQE9l
Roomba j7+	iRobot (Roomba)	應該是Roomba現行款式中最強的機種，現在跟我之前從amazon買的價格差不多了	居家	#掃地機器人 #居家	26000	26000	https://24h.pchome.com.tw/prod/DMBL0J-A900DZHJ9	https://cs-a.ecimg.tw/items/DMBL0JA900DZHJ9/yt000001_1701345400.jpg	https://www.facebook.com/applepig/posts/pfbid02CRwmCLGyfhoMAKLLoj5tpPhSLanYirfQxF6Fv8BeJGi7NY5j8hBF9dJ4UfQYeu7pl
